EPIC,Name  ,1W,1M,3M,6M,1Y,2Y,3Y,5Y
III,3i Group Plc,0.22,5.29,8.96,14.86,58.08,191.21,158.42,206.18
ADM,Admiral Group,-2.39,-3.83,4.27,2.4,13.57,42.98,-10.5,34.32
AAF,Airtel Africa plc,0.27,-0.27,-5.61,6.21,-6.08,-12.83,17.5,113.84
AAL,Anglo American,-5.12,14.44,-4.51,7.15,1.3,-16.48,-14.57,19.52
ANTO,Antofagasta plc,-1.54,15.18,-12.35,-14.58,32.6,70.61,40.52,121.76
AHT,Ashtead Group plc,1.88,9.18,13.77,-0.59,13.95,32.92,1.96,166.7
ABF,Associated British Foods plc,1.47,8.28,-4.53,-3.58,17.75,83.69,29.75,11.21
AZN,AstraZeneca plc,-1.62,-5.13,-2.55,9.67,7.21,19.78,32.41,66.9
AUTO,Auto Trader Group plc,1.51,0.07,5.99,24.8,34.27,62.09,47.99,75.27
AV.,Aviva Plc,2.02,-2.66,-0.7,-2.08,17.37,19.81,24.43,31.91
BME,B&M European Value Retail SA,0.02,-1.3,-6.87,-19.76,-28.43,30.32,-27.4,18.06
BA.,BAE Systems plc,-3.69,-3.8,-2.23,-1.88,20.22,49.41,117.65,126.23
BARC,Barclays plc,5.38,6.67,5.28,21.99,47.44,61.37,18.44,54.93
BTRW,Barratt Redrow Plc,-5.8,-8.86,-6.53,-0.55,4.93,32.69,-28.67,-22.73
BEZ,Beazley plc,3.38,1.43,14.54,18.36,45.12,36.36,104.62,29.35
BP.,BP Plc,0.45,3.37,-9.63,-21.01,-21.76,-11.16,16.21,-18.16
BATS,British American Tobacco plc,0.6,-8.75,8.52,16.98,6.28,-18.65,6.42,-3.91
BLND,British Land Co plc,-1.75,-3.44,3.95,11.68,33.5,27.09,-13.44,-22.19
BT.A,BT Group plc,2.21,4,4.15,37.28,23.17,15.83,-0.48,-21.21
BNZL,Bunzl plc,-1.66,-5.61,8.67,15.7,14.2,27.94,43.14,72.82
CNA,Centrica plc,3.62,0.59,-13.96,-4.6,-23.27,74.1,100.33,80.43
CCH,Coca-Cola HBC AG,2.24,-3.65,1.56,14.73,27.59,39.97,14.58,7.7
CPG,Compass Group plc,0.62,-1.78,12.4,9.46,17.74,35.47,61.45,19.6
CTEC,ConvaTec Group Plc,-0.45,-4.05,-7.86,-22.04,3.82,7.74,9,22.96
CRDA,Croda International plc,-1.47,5.28,2.23,-14.36,-11.08,-39.19,-50.57,-14.18
DCC,DCC plc,-1.08,-1.57,-11.78,-8.89,7.79,6.18,-16.36,-26.78
DGE,Diageo plc,-2.81,5.21,1.62,-9.98,-17.82,-30.25,-28.23,-23.44
DPLM,Diploma plc,-0.14,-5.36,0.48,16.08,42.44,75.08,50.39,159.38
